,number,value,params_gamma,params_tau,state
0,0,38.57385738573858,1e-06,0.01,COMPLETE
1,1,37.163716371637165,3.8886872992204e-06,0.07610211594813743,COMPLETE
2,2,39.31393139313931,6.19670849344218e-06,0.08822011471144152,COMPLETE
3,3,38.4038403840384,1.019390321364207e-06,0.02493923562525494,COMPLETE
4,4,31.783178317831783,2.1287205954551857e-06,0.007901425888049322,COMPLETE
5,5,37.71377137713771,2.0605565642467134e-06,0.09467279770552414,COMPLETE
6,6,40.234023402340235,7.903062097788719e-06,0.04804846233291882,COMPLETE
7,7,38.993899389938996,2.199978436833884e-06,0.03888916939403328,COMPLETE
8,8,39.74397439743974,7.642678619551806e-06,0.06943921813165005,COMPLETE
9,9,39.69396939693969,3.415331244149375e-06,0.02253045830664607,COMPLETE
10,10,45.984598459845984,9.666836947115186e-06,0.03943272802313799,COMPLETE
11,11,29.252925292529252,1.2060132039460923e-06,0.011195847663174874,COMPLETE
12,12,31.95319531953195,6.318670004996898e-06,0.055706167618015875,COMPLETE
13,13,36.22362236223623,3.5835290957663326e-06,0.08742913381078284,COMPLETE
14,14,30.793079307930793,2.5858783568178564e-06,0.08406513581695291,COMPLETE
15,15,34.36343634363436,7.674943053497198e-07,0.06772578283319654,COMPLETE
16,16,37.15371537153715,5.772705334730454e-06,0.0799510982261953,COMPLETE
17,17,27.47274727472747,1.3522890953633971e-06,0.00981745902800129,COMPLETE
18,18,31.753175317531753,5.32519687993491e-06,0.02253657389050782,COMPLETE
19,19,44.034403440344036,8.492385221067279e-06,0.044128768371876174,COMPLETE
20,20,36.23362336233623,3.2324732332435577e-06,0.03616868540218946,COMPLETE
21,21,45.4045404540454,6.470590284734529e-06,0.07816336462103513,COMPLETE
22,22,37.883788378837885,9.51049189813146e-06,0.024234163352745298,COMPLETE
23,23,38.52385238523852,1.6449791328497028e-06,0.09533627559316772,COMPLETE
24,24,40.16401640164016,2.3946546479940995e-06,0.040807645111829056,COMPLETE
25,25,38.63386338633863,8.951696279091795e-06,0.0033852822708523612,COMPLETE
26,26,31.973197319731973,8.44099156456169e-06,0.09135581466914489,COMPLETE
27,27,30.533053305330533,7.153563344650912e-07,0.004347590672061042,COMPLETE
28,28,33.58335833583359,5.393259227750401e-07,0.09902663400138785,COMPLETE
29,29,39.093909390939096,9.704706833718686e-06,0.09043500518178929,COMPLETE
30,30,39.06390639063906,8.307715701015107e-06,0.016974366160741248,COMPLETE
31,31,34.69346934693469,2.705042844374378e-07,0.007402366173635911,COMPLETE
32,32,44.704470447044706,8.697078024514133e-06,0.04679167968636058,COMPLETE
33,33,44.38443844384438,8.170779222708291e-06,0.022797215016980364,COMPLETE
34,34,40.374037403740374,1.861632998172822e-06,0.08135446537115906,COMPLETE
35,35,41.344134413441346,1.0305659011229144e-06,0.07554372503636879,COMPLETE
36,36,38.933893389338934,8.540345766254881e-06,0.08812898536071653,COMPLETE
37,37,36.9036903690369,8.476847488300576e-06,0.02626560400836939,COMPLETE
38,38,28.112811281128113,1.1067995428412947e-06,0.008984320019451687,COMPLETE
39,39,33.003300330033,5.336553785833071e-07,0.041684478972097316,COMPLETE
40,40,37.81378137813781,6.711501583925396e-06,0.045534256552275554,COMPLETE
41,41,38.47384738473848,2.9053248015574485e-06,0.04395201619430683,COMPLETE
42,42,32.313231323132314,8.212387238493084e-06,0.08108971192197692,COMPLETE
43,43,32.14321432143215,3.7305380017302832e-06,0.012096664848270666,COMPLETE
44,44,38.87388738873888,4.053664180491601e-06,0.09605720958459592,COMPLETE
45,45,31.703170317031702,4.165651881256846e-06,0.03241895098752958,COMPLETE
46,46,39.82398239823983,4.519425048087167e-06,0.07976263112480446,COMPLETE
47,47,47.94479447944794,7.448596235546098e-06,0.042376201021720836,COMPLETE
48,48,32.703270327032705,7.989451089412198e-07,0.057812568072060554,COMPLETE
49,49,36.443644364436445,1.1445078236559913e-06,0.07811830468024533,COMPLETE
50,50,45.57455745574558,3.03617924590622e-06,0.04393224988941995,COMPLETE
51,51,39.74397439743974,2.460958183718012e-07,0.09524712296306412,COMPLETE
52,52,41.494149414941496,9.204893816373109e-06,0.07305448535795292,COMPLETE
53,53,41.31413141314131,1.417158002865878e-07,0.07874045893643776,COMPLETE
54,54,39.54395439543955,7.762873921372019e-06,0.06896188397597551,COMPLETE
55,55,38.35383538353835,7.3728328721678495e-06,0.05003030121864152,COMPLETE
56,56,27.412741274127413,6.858376710134089e-06,0.005997104751306369,COMPLETE
57,57,29.142914291429143,8.175921119941466e-06,0.007368391331032381,COMPLETE
58,58,36.36363636363637,2.351429687468697e-06,0.003722381884481634,COMPLETE
59,59,33.74337433743374,5.603637076085819e-06,0.09767710208678046,COMPLETE
60,60,38.083808380838086,7.112994610129495e-07,0.019942233104982072,COMPLETE
61,61,39.2039203920392,6.826299123180091e-06,0.03789837923138624,COMPLETE
62,62,36.75367536753675,1.7526994132436262e-06,0.05712348001330095,COMPLETE
63,63,41.55415541554156,1.1466431478077883e-06,0.07767902055322534,COMPLETE
64,64,45.13451345134513,1.8311274092870657e-06,0.08119853125284683,COMPLETE
65,65,40.68406840684069,4.864587250577695e-06,0.09595708403849453,COMPLETE
66,66,37.89378937893789,3.0303465635273467e-06,0.018298493098643738,COMPLETE
67,67,42.994299429943,5.45010978921809e-07,0.04105205812724714,COMPLETE
68,68,29.652965296529654,6.833304439968908e-06,0.08695544022435049,COMPLETE
69,69,39.613961396139615,1.6561062064433434e-06,0.09495303775345625,COMPLETE
70,70,41.61416141614161,5.232029846237943e-06,0.031047027385117842,COMPLETE
71,71,40.374037403740374,8.900966317768419e-06,0.05546521630791962,COMPLETE
72,72,31.663166316631663,9.616483924240475e-06,0.08131871940952276,COMPLETE
73,73,40.524052405240525,1.7300832909867687e-06,0.07873843494850291,COMPLETE
74,74,40.15401540154016,1.362315718457685e-06,0.07427379390142566,COMPLETE
75,75,38.43384338433843,7.220582308658272e-06,0.021842615384004144,COMPLETE
76,76,46.144614461446146,9.617515626547906e-06,0.020375452874137227,COMPLETE
77,77,38.213821382138214,2.8347158547221645e-06,0.08631708744080356,COMPLETE
78,78,38.59385938593859,2.9564103767591005e-06,0.048733978076905014,COMPLETE
79,79,44.594459445944594,6.747758060127019e-06,0.029504122983162785,COMPLETE
80,80,39.92399239923992,6.192050177630944e-06,0.04681513657695882,COMPLETE
81,81,35.18351835183518,8.662491007202324e-06,0.06703485065359858,COMPLETE
82,82,39.953995399539956,4.878724888148274e-06,0.045372846945144346,COMPLETE
83,83,36.9036903690369,3.478318460956568e-06,0.06386284299536621,COMPLETE
84,84,31.343134313431342,6.511934383178798e-06,0.019463340470944352,COMPLETE
85,85,33.59335933593359,4.7377685588532945e-06,0.03697129859805987,COMPLETE
86,86,40.804080408040804,6.752152242493138e-06,0.06567711509361096,COMPLETE
87,87,29.072907290729074,4.176777266113041e-06,0.007968750993830431,COMPLETE
88,88,39.423942394239425,9.049593168822504e-06,0.01873899603342133,COMPLETE
89,89,38.62386238623862,7.29832702254329e-06,0.07955554862051052,COMPLETE
