No	Time[sec]	VOLT[V]	CURR[A]
1	0	0	-6.07542e-011
2	0	0	-1.21939e-010
3	1	0	-1.17427e-010
4	1	0	-1.0153e-010
5	1	0	-1.13505e-010
6	1	0	-1.07222e-010
7	1	0	-1.12578e-010
8	2	0	-1.08614e-010
9	2	0	-1.13716e-010
10	2	0	-1.12198e-010
11	2	0	-1.09795e-010
12	2	0	-1.11692e-010
13	3	0	-1.06295e-010
14	3	0	-1.10343e-010
15	3	0	-1.09078e-010
16	3	0	-1.15993e-010
17	3	0	-1.11102e-010
18	4	0	-1.10765e-010
19	4	0	-1.14391e-010
20	4	0	-1.13295e-010
21	4	0	-1.09289e-010
22	4	0	-1.05915e-010
23	5	0	-1.11861e-010
24	5	0	-1.26747e-010
25	5	0.05	-7.74945e-011
26	5	0.05	5.52057e-011
27	5	0.05	-1.13801e-010
28	6	0.05	-1.24343e-010
29	6	0.05	-8.92592e-011
30	6	0.05	-7.24345e-011
31	6	0.05	-8.88375e-011
32	7	0.05	-1.0503e-010
33	7	0.05	-5.88988e-011
34	7	0.05	-1.55169e-010
35	7	0.05	-1.10512e-010
36	7	0.05	-1.35012e-010
37	8	0.05	-1.69802e-010
38	8	0.05	-6.4134e-010
39	8	0.05	-2.77207e-010
40	8	0.05	-2.41658e-010
41	8	0.05	-1.78657e-010
42	9	0.05	1.62057e-010
43	9	0.05	2.55964e-010
44	9	0.05	-1.03933e-010
45	9	0.05	3.10018e-011
46	9	0.05	-8.04507e-012
47	10	0.05	-8.60545e-011
48	10	0.05	-8.09522e-011
49	10	0.05	-9.94215e-011
50	10	0.1	-3.99657e-011
51	10	0.1	-8.6181e-011
52	11	0.1	-9.9548e-011
53	11	0.1	-1.10216e-010
54	11	0.1	-1.03976e-010
55	11	0.1	-1.07518e-010
56	11	0.1	-9.88733e-011
57	12	0.1	-9.30543e-011
58	12	0.1	-9.99697e-011
59	12	0.1	-1.02542e-010
60	12	0.1	-9.65963e-011
61	13	0.1	-1.03849e-010
62	13	0.1	-1.10174e-010
63	13	0.1	-1.11777e-010
64	13	0.1	-1.11566e-010
65	13	0.1	-1.15656e-010
66	14	0.1	-7.89282e-011
67	14	0.1	-9.44458e-011
68	14	0.1	-1.08783e-010
69	14	0.1	-1.0503e-010
70	14	0.1	-9.68915e-011
71	15	0.1	-9.65963e-011
72	15	0.1	-1.23162e-010
73	15	0.1	-1.2953e-010
74	15	0.1	-1.25355e-010
75	15	0.15	-5.40074e-011
76	16	0.15	-8.3904e-011
77	16	0.15	-9.37711e-011
78	16	0.15	-8.91327e-011
79	16	0.15	-8.36932e-011
80	16	0.15	-8.20486e-011
81	17	0.15	-8.08258e-011
82	17	0.15	-1.1612e-010
83	17	0.15	-1.09542e-010
84	17	0.15	-1.11608e-010
85	17	0.15	-1.14939e-010
86	18	0.15	-1.04144e-010
87	18	0.15	-1.01235e-010
88	18	0.15	-1.01656e-010
89	18	0.15	-1.04819e-010
90	18	0.15	-5.65796e-011
91	19	0.15	-6.22722e-011
92	19	0.15	-5.42182e-011
93	19	0.15	-6.70792e-011
94	19	0.15	-9.87468e-011
95	19	0.15	-1.0406e-010
96	20	0.15	-6.43384e-011
97	20	0.15	-6.29469e-011
98	20	0.15	-6.84708e-011
99	20	0.15	-7.46272e-011
100	21	0.2	-4.66703e-011
101	21	0.2	-8.02776e-011
102	21	0.2	-9.08194e-011
103	21	0.2	-9.69336e-011
104	21	0.2	-9.42771e-011
105	22	0.2	-8.94279e-011
106	22	0.2	-7.40369e-011
107	22	0.2	-7.71993e-011
108	22	0.2	-7.33621e-011
109	22	0.2	-7.7115e-011
110	23	0.2	-7.88017e-011
111	23	0.2	-9.76083e-011
112	23	0.2	-9.37289e-011
113	23	0.2	-8.87532e-011
114	23	0.2	-9.09459e-011
115	24	0.2	-1.00012e-010
116	24	0.2	-9.47409e-011
