No	Time[sec]	VOLT[V]	CURR[A]
1	0	0	2.02447e-007
2	0	0	2.03688e-007
3	0	0	2.084e-007
4	0	0	2.09813e-007
5	1	0	2.03521e-007
6	1	0	2.03831e-007
7	1	0	2.06923e-007
8	1	0	2.02533e-007
9	2	0	2.1099e-007
10	2	0	2.03127e-007
11	2	0	2.05826e-007
12	2	0	2.03244e-007
13	2	0	2.03052e-007
14	3	0	1.98126e-007
15	3	0	1.99242e-007
16	3	0	1.99706e-007
17	3	0	2.00759e-007
18	3	0	1.99892e-007
19	4	0	2.00166e-007
20	4	0	1.92614e-007
21	4	0	1.93391e-007
22	4	0	1.91785e-007
23	4	0	1.95033e-007
24	5	0	1.96969e-007
25	5	0	1.9616e-007
26	5	0	2.00596e-007
27	5	0	2.05466e-007
28	5	0	2.02629e-007
29	6	0	2.08085e-007
30	6	0	2.06189e-007
31	6	0	1.9735e-007
32	6	0	1.98238e-007
33	6	0	1.94032e-007
34	7	0	1.9955e-007
35	7	0	1.98178e-007
36	7	0	2.01971e-007
37	7	0	2.04363e-007
38	7	0	1.98229e-007
39	8	0	1.96758e-007
40	8	0	1.94411e-007
41	8	0	1.97729e-007
42	8	0	1.96359e-007
43	9	0	1.93002e-007
44	9	0	1.99002e-007
45	9	0	2.03094e-007
46	9	0	1.99733e-007
47	9	0	2.01352e-007
48	10	0	1.96467e-007
49	10	0	1.9525e-007
50	10	0.05	1.06655e-006
51	10	0.05	1.04679e-006
52	10	0.05	1.02439e-006
53	11	0.05	1.00354e-006
54	11	0.05	1.02105e-006
55	11	0.05	1.03314e-006
56	12	0.05	1.08381e-006
57	12	0.05	1.08807e-006
58	12	0.05	1.11329e-006
59	12	0.05	1.06568e-006
60	12	0.05	1.07051e-006
61	12	0.05	1.0817e-006
62	13	0.05	1.09356e-006
63	13	0.05	1.06871e-006
64	13	0.05	1.04603e-006
65	13	0.05	1.00268e-006
66	14	0.05	1.00738e-006
67	14	0.05	9.81673e-007
68	14	0.05	1.00473e-006
69	14	0.05	1.01754e-006
70	15	0.05	1.02145e-006
71	15	0.05	9.88493e-007
72	15	0.05	1.02493e-006
73	16	0.05	1.00822e-006
74	16	0.05	9.7453e-007
75	17	0.05	1.03699e-006
76	17	0.05	1.01045e-006
