No	Time[sec]	VOLT[V]	CURR[A]
1	1	0	-9.15362e-011
2	1	0	-1.31006e-010
3	1	0	-1.48169e-010
4	1	0	-1.61579e-010
5	2	0	-1.50488e-010
6	2	0	-1.6744e-010
7	2	0	-1.7735e-010
8	2	0	-2.63755e-010
9	2	0	-6.26497e-010
10	3	0	-5.0817e-010
11	3	0	1.57795e-011
12	3	0	-9.74818e-011
13	3	0	-1.11819e-010
14	3	0	1.20818e-010
15	4	0	2.68319e-010
16	4	0	1.24487e-010
17	4	0	3.22083e-010
18	4	0	5.61717e-012
19	4	0	-1.6858e-011
20	5	0	-8.12474e-011
21	5	0	-8.91748e-011
22	5	0	-8.00667e-011
23	5	0	-7.99824e-011
24	5	0	-8.65183e-011
25	6	0.05	-9.33494e-011
26	6	0.05	-1.0621e-010
27	6	0.05	-8.22172e-011
28	6	0.05	-7.5091e-011
29	6	0.05	-8.21751e-011
30	7	0.05	-8.31449e-011
31	7	0.05	-9.19157e-011
32	7	0.05	-9.96745e-011
33	7	0.05	-9.79456e-011
34	7	0.05	-1.05072e-010
35	8	0.05	-1.03174e-010
36	8	0.05	-1.0056e-010
37	8	0.05	-9.09037e-011
38	8	0.05	-8.33136e-011
39	8	0.05	-8.26389e-011
40	9	0.05	-8.71508e-011
41	9	0.05	-1.05409e-010
42	9	0.05	-9.87468e-011
43	9	0.05	-9.89998e-011
44	9	0.05	-9.9548e-011
45	10	0.05	-7.26874e-011
46	10	0.05	-8.33558e-011
47	10	0.05	-7.74523e-011
48	10	0.05	-8.92592e-011
49	11	0.05	-7.33199e-011
50	11	0.1	-4.57847e-011
51	11	0.1	-5.78024e-011
52	11	0.1	-6.85551e-011
53	11	0.1	-3.59597e-011
54	12	0.1	-1.8629e-011
55	12	0.1	2.53937e-011
56	12	0.1	2.13034e-011
57	12	0.1	3.41645e-011
58	12	0.1	1.22796e-011
59	13	0.1	1.11411e-011
60	13	0.1	-5.17761e-012
61	13	0.1	-1.50869e-011
62	13	0.1	-2.08638e-011
63	13	0.1	-2.04e-011
64	14	0.1	-1.79543e-011
65	14	0.1	-3.70139e-011
66	14	0.1	-6.17239e-011
67	14	0.1	-5.47242e-011
68	14	0.1	-6.28203e-011
69	15	0.1	-5.50193e-011
70	15	0.1	-5.43446e-011
71	15	0.1	-3.84476e-011
72	15	0.1	-3.02249e-011
73	15	0.1	-7.66547e-012
74	16	0.1	3.88467e-013
75	16	0.15	1.22927e-010
76	16	0.15	1.60118e-010
77	16	0.15	1.76901e-010
78	17	0.15	3.29251e-010
79	17	0.15	5.59274e-010
80	17	0.15	9.10274e-010
81	17	0.15	9.00028e-010
82	17	0.15	9.11371e-010
83	18	0.15	1.38124e-009
84	18	0.15	1.63576e-009
85	18	0.15	3.30681e-011
86	18	0.15	3.69054e-011
87	18	0.15	6.12781e-011
88	19	0.15	4.15437e-011
89	19	0.15	1.10234e-010
90	19	0.15	2.2202e-010
91	19	0.15	5.51768e-010
92	19	0.15	7.0825e-010
93	20	0.15	9.80735e-010
94	20	0.15	1.60532e-009
95	20	0.15	1.59347e-009
96	20	0.15	1.69041e-009
97	20	0.15	1.50247e-009
98	21	0.15	1.77428e-009
99	21	0.15	1.68021e-009
100	21	0.2	1.67241e-009
101	21	0.2	1.61755e-009
102	21	0.2	1.45946e-009
103	22	0.2	2.04862e-009
104	22	0.2	2.2148e-009
105	22	0.2	7.42575e-010
106	22	0.2	5.94863e-010
107	22	0.2	4.43145e-010
108	23	0.2	2.80632e-010
109	23	0.2	2.87421e-010
110	23	0.2	3.19595e-010
111	23	0.2	5.74327e-010
112	24	0.2	2.41965e-010
113	24	0.2	1.76648e-010
114	24	0.2	1.08126e-010
115	24	0.2	8.38797e-011
116	24	0.2	6.77718e-011
117	25	0.2	5.26759e-011
118	25	0.2	9.29878e-011
119	25	0.2	1.28282e-010
120	25	0.2	1.80991e-010
121	25	0.2	1.90942e-010
122	26	0.2	2.6406e-010
123	26	0.2	2.82108e-010
124	26	0.2	4.04393e-010
125	26	0.25	7.18497e-010
126	26	0.25	7.42406e-010
127	27	0.25	8.07555e-010
128	27	0.25	1.00351e-009
129	27	0.25	9.91783e-010
130	27	0.25	1.41974e-009
131	27	0.25	1.29227e-009
132	28	0.25	1.41603e-009
133	28	0.25	1.76378e-009
134	28	0.25	2.33734e-009
135	28	0.25	1.95261e-009
136	28	0.25	2.03306e-009
137	29	0.25	2.78963e-009
138	29	0.25	2.51765e-009
139	29	0.25	1.9314e-009
140	29	0.25	4.87631e-010
141	29	0.25	9.54757e-011
142	30	0.25	7.33379e-011
143	30	0.25	1.77955e-010
144	30	0.25	1.43293e-010
145	30	0.25	9.69094e-011
146	30	0.25	8.96988e-011
147	31	0.25	7.21994e-011
148	31	0.25	5.26337e-011
149	31	0.25	2.52671e-011
150	31	0.3	4.26401e-011
151	32	0.3	4.57605e-011
152	32	0.3	1.2377e-010
153	32	0.3	6.14597e-010
154	32	0.3	2.44369e-009
155	32	0.3	6.75588e-009
156	33	0.3	8.56869e-009
157	33	0.3	9.1918e-009
158	33	0.3	1.0055e-008
159	33	0.3	1.09783e-008
160	33	0.3	1.09211e-008
161	34	0.3	1.08685e-008
162	34	0.3	1.00335e-008
163	34	0.3	9.66289e-009
164	34	0.3	8.94736e-009
165	34	0.3	8.54293e-009
166	35	0.3	1.08789e-008
167	35	0.3	1.04684e-008
168	35	0.3	1.15308e-008
169	35	0.3	1.04971e-008
170	35	0.3	1.00132e-008
171	36	0.3	1.08068e-008
172	36	0.3	9.98172e-009
173	36	0.3	9.4227e-009
174	36	0.3	7.78164e-009
175	36	0.35	2.32262e-009
176	37	0.35	2.18744e-009
177	37	0.35	1.55602e-009
178	37	0.35	1.10618e-009
179	37	0.35	7.27774e-010
180	37	0.35	3.3857e-010
181	38	0.35	9.23552e-011
182	38	0.35	-7.70765e-012
183	38	0.35	-4.36342e-011
184	38	0.35	-4.91159e-011
185	39	0.35	-5.2405e-011
